Location,Resort,Pass,Year,Total Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
california,Northstar California,Epic,2012 - 2013,"283""",42,"22""","51""","50""","36"""
california,Northstar California,Epic,2013 - 2014,"177""",32,"14""","26""","25""","32"""
california,Northstar California,Epic,2014 - 2015,"134""",31,"11""","24""","18""","13"""
california,Northstar California,Epic,2015 - 2016,"433""",59,"31""","57""","68""","34"""
california,Northstar California,Epic,2016 - 2017,"692""",64,"47""","88""","131""","42"""
california,Northstar California,Epic,2017 - 2018,"269""",35,"12""","38""","45""","26"""
california,Northstar California,Epic,2018 - 2019,"601""",73,"13""","69""","18""","37"""
california,Northstar California,Epic,2019 - 2020,"202""",34,"0""","26""","0""","29"""
california,Northstar California,Epic,2020 - 2021,"181""",34,"16""","36""","51""","32"""
california,Northstar California,Epic,2021 - To Date,"213""",24,"26""","72""","86""","34"""
vermont,Okemo,Epic,2012 - 2013,"136""",44,"15""","20""","30""","12"""
vermont,Okemo,Epic,2013 - 2014,"158""",46,"15""","23""","26""","22"""
vermont,Okemo,Epic,2014 - 2015,"142""",34,"18""","23""","40""","15"""
vermont,Okemo,Epic,2015 - 2016,"20""",6,"9""","16""","16""","6"""
vermont,Okemo,Epic,2016 - 2017,"159""",33,"13""","21""","32""","17"""
vermont,Okemo,Epic,2017 - 2018,"171""",34,"20""","29""","46""","16"""
vermont,Okemo,Epic,2018 - 2019,"148""",40,"18""","22""","38""","18"""
vermont,Okemo,Epic,2019 - 2020,"49""",19,"17""","17""","36""","6"""
vermont,Okemo,Epic,2020 - 2021,"78""",29,"15""","18""","34""","12"""
vermont,Okemo,Epic,2021 - To Date,"115""",31,"14""","18""","22""","13"""
northern-alps,Orelle,Epic,2012 - 2013,212cm,18,110cm,183cm,210cm,40cm
northern-alps,Orelle,Epic,2013 - 2014,273cm,28,100cm,173cm,170cm,30cm
northern-alps,Orelle,Epic,2014 - 2015,255cm,30,77cm,124cm,150cm,35cm
northern-alps,Orelle,Epic,2015 - 2016,394cm,31,114cm,180cm,210cm,45cm
northern-alps,Orelle,Epic,2016 - 2017,280cm,19,92cm,159cm,180cm,45cm
northern-alps,Orelle,Epic,2017 - 2018,657cm,45,176cm,239cm,290cm,50cm
northern-alps,Orelle,Epic,2018 - 2019,347cm,32,110cm,167cm,190cm,30cm
northern-alps,Orelle,Epic,2019 - 2020,574cm,34,141cm,232cm,250cm,70cm
northern-alps,Orelle,Epic,2020 - 2021,0cm,0,0cm,0cm,0cm,0cm
northern-alps,Orelle,Epic,2021 - To Date,273cm,17,92cm,190cm,150cm,40cm
utah,Park City,Epic,2012 - 2013,"257""",49,"28""","38""","55""","24"""
utah,Park City,Epic,2013 - 2014,"242""",54,"39""","37""","92""","12"""
utah,Park City,Epic,2014 - 2015,"154""",41,"30""","28""","66""","17"""
utah,Park City,Epic,2015 - 2016,"288""",61,"31""","37""","68""","17"""
utah,Park City,Epic,2016 - 2017,"404""",70,"41""","54""","86""","20"""
utah,Park City,Epic,2017 - 2018,"167""",43,"23""","29""","50""","14"""
utah,Park City,Epic,2018 - 2019,"328""",61,"40""","51""","88""","21"""
utah,Park City,Epic,2019 - 2020,"200""",50,"27""","31""","59""","17"""
utah,Park City,Epic,2020 - 2021,"186""",43,"27""","28""","60""","20"""
utah,Park City,Epic,2021 - To Date,"167""",38,"35""","45""","53""","15"""
trentino,Pontedilegno - Tonale,Epic,2012 - 2013,95cm,5,71cm,222cm,130cm,40cm
trentino,Pontedilegno - Tonale,Epic,2013 - 2014,400cm,10,67cm,357cm,100cm,100cm
trentino,Pontedilegno - Tonale,Epic,2014 - 2015,255cm,10,42cm,371cm,70cm,70cm
trentino,Pontedilegno - Tonale,Epic,2015 - 2016,295cm,10,42cm,113cm,80cm,100cm
trentino,Pontedilegno - Tonale,Epic,2016 - 2017,135cm,9,38cm,117cm,60cm,30cm
trentino,Pontedilegno - Tonale,Epic,2017 - 2018,342cm,22,50cm,198cm,60cm,80cm
trentino,Pontedilegno - Tonale,Epic,2018 - 2019,35cm,3,46cm,271cm,80cm,20cm
trentino,Pontedilegno - Tonale,Epic,2019 - 2020,341cm,15,44cm,366cm,70cm,80cm
trentino,Pontedilegno - Tonale,Epic,2020 - 2021,150cm,6,112cm,461cm,150cm,40cm
trentino,Pontedilegno - Tonale,Epic,2021 - To Date,32cm,4,38cm,153cm,50cm,10cm
northern-alps,St Martin de Belleville,Epic,2012 - 2013,498cm,47,63cm,173cm,104cm,30cm
northern-alps,St Martin de Belleville,Epic,2013 - 2014,234cm,27,56cm,110cm,107cm,30cm
northern-alps,St Martin de Belleville,Epic,2014 - 2015,347cm,29,29cm,96cm,68cm,50cm
northern-alps,St Martin de Belleville,Epic,2015 - 2016,300cm,32,38cm,126cm,91cm,40cm
northern-alps,St Martin de Belleville,Epic,2016 - 2017,275cm,22,31cm,113cm,458cm,80cm
northern-alps,St Martin de Belleville,Epic,2017 - 2018,346cm,35,92cm,229cm,169cm,50cm
northern-alps,St Martin de Belleville,Epic,2018 - 2019,182cm,23,51cm,145cm,120cm,30cm
northern-alps,St Martin de Belleville,Epic,2019 - 2020,293cm,30,48cm,185cm,103cm,38cm
northern-alps,St Martin de Belleville,Epic,2020 - 2021,0cm,0,0cm,0cm,0cm,0cm
northern-alps,St Martin de Belleville,Epic,2021 - To Date,80cm,6,50cm,141cm,90cm,27cm
utah,Snowbasin,Epic,2012 - 2013,"197""",40,"36""","36""","78""","20"""
utah,Snowbasin,Epic,2013 - 2014,"227""",46,"46""","46""","109""","18"""
utah,Snowbasin,Epic,2014 - 2015,"117""",33,"25""","31""","68""","10"""
utah,Snowbasin,Epic,2015 - 2016,"253""",55,"35""","46""","80""","22"""
utah,Snowbasin,Epic,2016 - 2017,"421""",62,"71""","67""","157""","25"""
utah,Snowbasin,Epic,2017 - 2018,"205""",51,"28""","28""","70""","12"""
utah,Snowbasin,Epic,2018 - 2019,"432""",78,"62""","60""","237""","21"""
utah,Snowbasin,Epic,2019 - 2020,"220""",53,"42""","38""","90""","14"""
utah,Snowbasin,Epic,2020 - 2021,"295""",47,"42""","39""","100""","21"""
utah,Snowbasin,Epic,2021 - To Date,"198""",35,"37""","38""","69""","23"""
washington,Stevens Pass,Epic,2012 - 2013,"436""",62,"59""","67""","122""","69"""
washington,Stevens Pass,Epic,2013 - 2014,"373""",65,"50""","75""","134""","20"""
washington,Stevens Pass,Epic,2014 - 2015,"126""",27,"22""","24""","54""","16"""
washington,Stevens Pass,Epic,2015 - 2016,"393""",68,"42""","56""","97""","19"""
washington,Stevens Pass,Epic,2016 - 2017,"350""",67,"51""","57""","114""","17"""
washington,Stevens Pass,Epic,2017 - 2018,"282""",63,"52""","69""","112""","20"""
washington,Stevens Pass,Epic,2018 - 2019,"267""",50,"40""","55""","88""","18"""
washington,Stevens Pass,Epic,2019 - 2020,"422""",65,"41""","55""","122""","21"""
washington,Stevens Pass,Epic,2020 - 2021,"414""",69,"60""","82""","149""","27"""
washington,Stevens Pass,Epic,2021 - To Date,"334""",49,"58""","55""","106""","34"""
quebec,Stoneham Mountain,Epic,2012 - 2013,"134""",35,"12""","11""","33""","11"""
quebec,Stoneham Mountain,Epic,2013 - 2014,"125""",53,"22""","21""","47""","9"""
quebec,Stoneham Mountain,Epic,2014 - 2015,"151""",46,"21""","21""","51""","12"""
quebec,Stoneham Mountain,Epic,2015 - 2016,"147""",48,"10""","10""","39""","13"""
quebec,Stoneham Mountain,Epic,2016 - 2017,"177""",65,"12""","12""","28""","10"""
quebec,Stoneham Mountain,Epic,2017 - 2018,"148""",62,"19""","18""","41""","11"""
quebec,Stoneham Mountain,Epic,2018 - 2019,"166""",51,"24""","24""","67""","10"""
quebec,Stoneham Mountain,Epic,2019 - 2020,"115""",51,"11""","11""","31""","8"""
quebec,Stoneham Mountain,Epic,2020 - 2021,"87""",42,"7""","7""","20""","7"""
quebec,Stoneham Mountain,Epic,2021 - To Date,"133""",59,"23""","23""","51""","8"""
vermont,Stowe,Epic,2012 - 2013,"218""",53,"21""","37""","36""","14"""
vermont,Stowe,Epic,2013 - 2014,"231""",60,"17""","34""","44""","20"""
vermont,Stowe,Epic,2014 - 2015,"249""",66,"19""","41""","36""","12"""
vermont,Stowe,Epic,2015 - 2016,"146""",44,"9""","21""","20""","12"""
vermont,Stowe,Epic,2016 - 2017,"330""",69,"18""","36""","40""","28"""
vermont,Stowe,Epic,2017 - 2018,"258""",66,"18""","37""","36""","18"""
vermont,Stowe,Epic,2018 - 2019,"242""",63,"20""","27""","37""","21"""
vermont,Stowe,Epic,2019 - 2020,"182""",48,"18""","33""","36""","21"""
vermont,Stowe,Epic,2020 - 2021,"184""",68,"13""","27""","30""","10"""
vermont,Stowe,Epic,2021 - To Date,"166""",49,"16""","34""","24""","17"""
idaho,Sun Valley,Epic,2012 - 2013,"165""",46,"15""","35""","24""","20"""
idaho,Sun Valley,Epic,2013 - 2014,"161""",45,"19""","26""","43""","17"""
idaho,Sun Valley,Epic,2014 - 2015,"143""",36,"20""","37""","48""","16"""
idaho,Sun Valley,Epic,2015 - 2016,"243""",65,"31""","53""","72""","15"""
idaho,Sun Valley,Epic,2016 - 2017,"359""",79,"37""","58""","103""","20"""
idaho,Sun Valley,Epic,2017 - 2018,"120""",39,"26""","43""","65""","19"""
idaho,Sun Valley,Epic,2018 - 2019,"193""",52,"40""","50""","110""","29"""
idaho,Sun Valley,Epic,2019 - 2020,"68""",28,"19""","26""","39""","7"""
idaho,Sun Valley,Epic,2020 - 2021,"125""",28,"36""","46""","89""","27"""
idaho,Sun Valley,Epic,2021 - To Date,"102""",28,"42""","59""","56""","12"""
valais,Thyon 2000,Epic,2012 - 2013,210cm,15,36cm,199cm,65cm,40cm
valais,Thyon 2000,Epic,2013 - 2014,260cm,23,34cm,132cm,85cm,40cm
valais,Thyon 2000,Epic,2014 - 2015,99cm,10,14cm,141cm,30cm,30cm
valais,Thyon 2000,Epic,2015 - 2016,201cm,13,30cm,141cm,60cm,40cm
valais,Thyon 2000,Epic,2016 - 2017,87cm,6,21cm,125cm,40cm,30cm
valais,Thyon 2000,Epic,2017 - 2018,449cm,20,25cm,213cm,70cm,70cm
valais,Thyon 2000,Epic,2018 - 2019,196cm,12,17cm,140cm,25cm,30cm
valais,Thyon 2000,Epic,2019 - 2020,165cm,7,23cm,109cm,50cm,50cm
valais,Thyon 2000,Epic,2020 - 2021,250cm,16,38cm,120cm,50cm,40cm
valais,Thyon 2000,Epic,2021 - To Date,180cm,7,31cm,90cm,50cm,70cm
colorado,Vail,Epic,2012 - 2013,"285""",81,"25""","24""","71""","13"""
colorado,Vail,Epic,2013 - 2014,"263""",65,"39""","36""","449""","21"""
colorado,Vail,Epic,2014 - 2015,"236""",56,"30""","28""","65""","12"""
colorado,Vail,Epic,2015 - 2016,"313""",74,"36""","35""","77""","15"""
colorado,Vail,Epic,2016 - 2017,"215""",69,"31""","30""","65""","10"""
colorado,Vail,Epic,2017 - 2018,"171""",45,"28""","27""","70""","11"""
colorado,Vail,Epic,2018 - 2019,"281""",77,"42""","42""","96""","15"""
colorado,Vail,Epic,2019 - 2020,"229""",59,"32""","31""","87""","17"""
colorado,Vail,Epic,2020 - 2021,"218""",64,"36""","35""","63""","13"""
colorado,Vail,Epic,2021 - To Date,"186""",54,"43""","43""","71""","11"""
northern-alps,Val Thorens,Epic,2012 - 2013,738cm,58,126cm,237cm,200cm,55cm
northern-alps,Val Thorens,Epic,2013 - 2014,619cm,49,96cm,164cm,155cm,75cm
northern-alps,Val Thorens,Epic,2014 - 2015,513cm,40,86cm,137cm,150cm,60cm
northern-alps,Val Thorens,Epic,2015 - 2016,610cm,44,113cm,178cm,190cm,50cm
northern-alps,Val Thorens,Epic,2016 - 2017,445cm,27,91cm,170cm,180cm,45cm
northern-alps,Val Thorens,Epic,2017 - 2018,629cm,47,180cm,224cm,275cm,40cm
northern-alps,Val Thorens,Epic,2018 - 2019,469cm,48,126cm,166cm,216cm,33cm
northern-alps,Val Thorens,Epic,2019 - 2020,726cm,61,175cm,225cm,384cm,35cm
northern-alps,Val Thorens,Epic,2020 - 2021,463cm,40,109cm,149cm,221cm,34cm
northern-alps,Val Thorens,Epic,2021 - To Date,471cm,44,329cm,147cm,35140cm,39cm
valais,Verbier,Epic,2012 - 2013,623cm,33,72cm,187cm,150cm,80cm
valais,Verbier,Epic,2013 - 2014,406cm,44,35cm,121cm,100cm,31cm
valais,Verbier,Epic,2014 - 2015,227cm,24,23cm,115cm,75cm,45cm
valais,Verbier,Epic,2015 - 2016,364cm,30,27cm,136cm,60cm,35cm
valais,Verbier,Epic,2016 - 2017,186cm,17,22cm,127cm,60cm,42cm
valais,Verbier,Epic,2017 - 2018,793cm,42,68cm,228cm,120cm,60cm
valais,Verbier,Epic,2018 - 2019,480cm,32,64cm,169cm,135cm,60cm
valais,Verbier,Epic,2019 - 2020,594cm,34,42cm,202cm,95cm,45cm
valais,Verbier,Epic,2020 - 2021,316cm,27,45cm,140cm,112cm,35cm
valais,Verbier,Epic,2021 - To Date,288cm,27,31cm,83cm,80cm,26cm
valais,Veysonnaz - Printze,Epic,2012 - 2013,290cm,24,37cm,195cm,65cm,25cm
valais,Veysonnaz - Printze,Epic,2013 - 2014,306cm,29,35cm,132cm,85cm,40cm
valais,Veysonnaz - Printze,Epic,2014 - 2015,89cm,9,14cm,142cm,30cm,30cm
valais,Veysonnaz - Printze,Epic,2015 - 2016,186cm,12,30cm,141cm,60cm,40cm
valais,Veysonnaz - Printze,Epic,2016 - 2017,87cm,6,21cm,124cm,40cm,30cm
valais,Veysonnaz - Printze,Epic,2017 - 2018,459cm,21,23cm,213cm,70cm,70cm
valais,Veysonnaz - Printze,Epic,2018 - 2019,251cm,15,21cm,218cm,25cm,30cm
valais,Veysonnaz - Printze,Epic,2019 - 2020,265cm,10,28cm,112cm,50cm,50cm
valais,Veysonnaz - Printze,Epic,2020 - 2021,245cm,16,38cm,113cm,50cm,40cm
valais,Veysonnaz - Printze,Epic,2021 - To Date,157cm,7,27cm,74cm,50cm,70cm
british-columbia,Whistler Blackcomb,Epic,2012 - 2013,"280""",61,"52""","65""","112""","19"""
british-columbia,Whistler Blackcomb,Epic,2013 - 2014,"274""",80,"54""","53""","117""","25"""
british-columbia,Whistler Blackcomb,Epic,2014 - 2015,"219""",68,"31""","40""","79""","13"""
british-columbia,Whistler Blackcomb,Epic,2015 - 2016,"435""",98,"68""","67""","148""","21"""
british-columbia,Whistler Blackcomb,Epic,2016 - 2017,"505""",110,"27""","77""","106""","25"""
british-columbia,Whistler Blackcomb,Epic,2017 - 2018,"316""",94,"81""","70""","132""","24"""
british-columbia,Whistler Blackcomb,Epic,2018 - 2019,"374""",82,"44""","66""","106""","29"""
british-columbia,Whistler Blackcomb,Epic,2019 - 2020,"295""",76,"40""","39""","108""","18"""
british-columbia,Whistler Blackcomb,Epic,2020 - 2021,"281""",76,"45""","41""","118""","25"""
british-columbia,Whistler Blackcomb,Epic,2021 - To Date,"321""",76,"0""","69""","0""","24"""
minnesota,Afton Alps,Epic,2012 - 2013,"58""",16,"21""","27""","39""","15"""
minnesota,Afton Alps,Epic,2013 - 2014,"83""",37,"29""","41""","68""","6"""
minnesota,Afton Alps,Epic,2014 - 2015,"35""",21,"15""","26""","30""","3"""
minnesota,Afton Alps,Epic,2015 - 2016,"27""",10,"13""","20""","35""","11"""
minnesota,Afton Alps,Epic,2016 - 2017,"29""",8,"10""","26""","24""","7"""
minnesota,Afton Alps,Epic,2017 - 2018,"42""",11,"10""","30""","24""","11"""
minnesota,Afton Alps,Epic,2018 - 2019,"56""",16,"11""","34""","30""","7"""
minnesota,Afton Alps,Epic,2019 - 2020,"34""",11,"11""","15""","24""","6"""
minnesota,Afton Alps,Epic,2020 - 2021,"38""",16,"6""","12""","12""","6"""
minnesota,Afton Alps,Epic,2021 - To Date,"19""",7,"20""","13""","40""","5"""
trentino,Folgaria - Lavarone,Epic,2012 - 2013,400cm,20,85cm,87cm,160cm,40cm
trentino,Folgaria - Lavarone,Epic,2013 - 2014,385cm,14,69cm,127cm,100cm,50cm
trentino,Folgaria - Lavarone,Epic,2014 - 2015,350cm,15,36cm,61cm,100cm,50cm
trentino,Folgaria - Lavarone,Epic,2015 - 2016,145cm,7,33cm,58cm,60cm,40cm
trentino,Folgaria - Lavarone,Epic,2016 - 2017,120cm,8,22cm,40cm,50cm,40cm
trentino,Folgaria - Lavarone,Epic,2017 - 2018,150cm,9,37cm,67cm,50cm,40cm
trentino,Folgaria - Lavarone,Epic,2018 - 2019,102cm,10,39cm,60cm,80cm,40cm
trentino,Folgaria - Lavarone,Epic,2019 - 2020,240cm,15,31cm,57cm,50cm,40cm
trentino,Folgaria - Lavarone,Epic,2020 - 2021,165cm,5,41cm,105cm,100cm,60cm
trentino,Folgaria - Lavarone,Epic,2021 - To Date,110cm,6,21cm,35cm,40cm,40cm
trentino,Paganella Ski,Epic,2012 - 2013,253cm,12,29cm,85cm,85cm,70cm
trentino,Paganella Ski,Epic,2013 - 2014,551cm,16,36cm,272cm,116cm,60cm
trentino,Paganella Ski,Epic,2014 - 2015,271cm,13,10cm,87cm,25cm,38cm
trentino,Paganella Ski,Epic,2015 - 2016,237cm,13,220cm,85cm,1050cm,60cm
trentino,Paganella Ski,Epic,2016 - 2017,118cm,9,10cm,35cm,25cm,40cm
trentino,Paganella Ski,Epic,2017 - 2018,245cm,16,26cm,108cm,39cm,35cm
trentino,Paganella Ski,Epic,2018 - 2019,164cm,10,27cm,67cm,60cm,60cm
trentino,Paganella Ski,Epic,2019 - 2020,242cm,11,37cm,126cm,50cm,60cm
trentino,Paganella Ski,Epic,2020 - 2021,90cm,2,81cm,76cm,200cm,60cm
trentino,Paganella Ski,Epic,2021 - To Date,148cm,12,35cm,69cm,40cm,50cm
colorado,Crested Butte,Epic,2012 - 2013,"143""",39,"26""","25""","56""","11"""
colorado,Crested Butte,Epic,2013 - 2014,"246""",49,"42""","38""","87""","25"""
colorado,Crested Butte,Epic,2014 - 2015,"192""",41,"26""","25""","63""","21"""
colorado,Crested Butte,Epic,2015 - 2016,"132""",37,"33""","29""","70""","12"""
colorado,Crested Butte,Epic,2016 - 2017,"335""",68,"45""","43""","90""","21"""
colorado,Crested Butte,Epic,2017 - 2018,"145""",40,"24""","23""","57""","11"""
colorado,Crested Butte,Epic,2018 - 2019,"251""",72,"44""","43""","100""","14"""
colorado,Crested Butte,Epic,2019 - 2020,"168""",49,"26""","25""","72""","10"""
colorado,Crested Butte,Epic,2020 - 2021,"144""",52,"30""","29""","63""","11"""
colorado,Crested Butte,Epic,2021 - To Date,"228""",49,"49""","47""","85""","22"""
trentino,Monte Bondone,Epic,2012 - 2013,145cm,6,40cm,84cm,80cm,50cm
trentino,Monte Bondone,Epic,2013 - 2014,290cm,7,73cm,129cm,140cm,70cm
trentino,Monte Bondone,Epic,2014 - 2015,118cm,8,22cm,53cm,70cm,60cm
trentino,Monte Bondone,Epic,2015 - 2016,95cm,6,42cm,47cm,100cm,45cm
trentino,Monte Bondone,Epic,2016 - 2017,75cm,4,31cm,31cm,60cm,40cm
trentino,Monte Bondone,Epic,2017 - 2018,152cm,9,44cm,68cm,75cm,60cm
trentino,Monte Bondone,Epic,2018 - 2019,102cm,5,22cm,49cm,70cm,60cm
trentino,Monte Bondone,Epic,2019 - 2020,45cm,4,22cm,113cm,35cm,22cm
trentino,Monte Bondone,Epic,2020 - 2021,40cm,1,28cm,50cm,100cm,40cm
trentino,Monte Bondone,Epic,2021 - To Date,40cm,1,19cm,47cm,40cm,40cm
new-hampshire,Mount Sunapee,Epic,2012 - 2013,"96""",24,"12""","20""","25""","20"""
new-hampshire,Mount Sunapee,Epic,2013 - 2014,"132""",36,"13""","24""","24""","14"""
new-hampshire,Mount Sunapee,Epic,2014 - 2015,"143""",37,"14""","24""","36""","14"""
new-hampshire,Mount Sunapee,Epic,2015 - 2016,"32""",11,"7""","14""","18""","6"""
new-hampshire,Mount Sunapee,Epic,2016 - 2017,"130""",32,"14""","21""","31""","16"""
new-hampshire,Mount Sunapee,Epic,2017 - 2018,"170""",31,"11""","17""","24""","20"""
new-hampshire,Mount Sunapee,Epic,2018 - 2019,"71""",20,"12""","18""","24""","12"""
new-hampshire,Mount Sunapee,Epic,2019 - 2020,"42""",16,"13""","13""","34""","6"""
new-hampshire,Mount Sunapee,Epic,2020 - 2021,"71""",20,"14""","17""","33""","16"""
new-hampshire,Mount Sunapee,Epic,2021 - To Date,"50""",18,"22""","22""","34""","6"""
michigan,Mt. Brighton,Epic,2012 - 2013,"11""",4,"12""","11""","28""","4"""
michigan,Mt. Brighton,Epic,2013 - 2014,"62""",21,"22""","29""","53""","8"""
michigan,Mt. Brighton,Epic,2014 - 2015,"36""",13,"14""","17""","30""","12"""
michigan,Mt. Brighton,Epic,2015 - 2016,"30""",11,"10""","15""","27""","10"""
michigan,Mt. Brighton,Epic,2016 - 2017,"30""",13,"12""","13""","34""","7"""
michigan,Mt. Brighton,Epic,2017 - 2018,"77""",32,"17""","17""","43""","6"""
michigan,Mt. Brighton,Epic,2018 - 2019,"26""",16,"17""","17""","41""","4"""
michigan,Mt. Brighton,Epic,2019 - 2020,"44""",22,"16""","16""","38""","5"""
michigan,Mt. Brighton,Epic,2020 - 2021,"39""",22,"16""","16""","46""","9"""
michigan,Mt. Brighton,Epic,2021 - To Date,"39""",15,"24""","24""","43""","6"""
trentino,Pejo,Epic,2012 - 2013,245cm,11,47cm,113cm,90cm,50cm
trentino,Pejo,Epic,2013 - 2014,285cm,15,88cm,185cm,160cm,45cm
trentino,Pejo,Epic,2014 - 2015,180cm,7,40cm,119cm,80cm,60cm
trentino,Pejo,Epic,2015 - 2016,133cm,8,13cm,59cm,50cm,60cm
trentino,Pejo,Epic,2016 - 2017,160cm,10,16cm,79cm,35cm,50cm
trentino,Pejo,Epic,2017 - 2018,397cm,18,54cm,157cm,80cm,50cm
trentino,Pejo,Epic,2018 - 2019,25cm,2,10cm,170cm,10cm,15cm
trentino,Pejo,Epic,2019 - 2020,75cm,5,39cm,179cm,80cm,40cm
trentino,Pejo,Epic,2020 - 2021,0cm,0,0cm,0cm,0cm,0cm
trentino,Pejo,Epic,2021 - To Date,0cm,0,30cm,74cm,40cm,0cm
trentino,Pinzolo,Epic,2012 - 2013,155cm,5,22cm,69cm,40cm,40cm
trentino,Pinzolo,Epic,2013 - 2014,410cm,9,35cm,161cm,50cm,100cm
trentino,Pinzolo,Epic,2014 - 2015,190cm,8,10cm,43cm,20cm,50cm
trentino,Pinzolo,Epic,2015 - 2016,165cm,6,13cm,53cm,40cm,60cm
trentino,Pinzolo,Epic,2016 - 2017,82cm,7,18cm,37cm,30cm,30cm
trentino,Pinzolo,Epic,2017 - 2018,123cm,4,36cm,132cm,50cm,80cm
trentino,Pinzolo,Epic,2018 - 2019,55cm,3,20cm,70cm,50cm,30cm
trentino,Pinzolo,Epic,2019 - 2020,30cm,5,34cm,112cm,42cm,10cm
trentino,Pinzolo,Epic,2020 - 2021,0cm,0,8cm,34cm,40cm,0cm
trentino,Pinzolo,Epic,2021 - To Date,54cm,2,23cm,54cm,25cm,40cm
colorado,Telluride,Epic,2012 - 2013,"196""",46,"27""","26""","63""","12"""
colorado,Telluride,Epic,2013 - 2014,"179""",36,"43""","39""","80""","15"""
colorado,Telluride,Epic,2014 - 2015,"204""",43,"33""","31""","75""","16"""
colorado,Telluride,Epic,2015 - 2016,"241""",51,"40""","36""","75""","19"""
colorado,Telluride,Epic,2016 - 2017,"294""",59,"39""","33""","86""","19"""
colorado,Telluride,Epic,2017 - 2018,"159""",37,"20""","23""","48""","12"""
colorado,Telluride,Epic,2018 - 2019,"323""",63,"44""","42""","110""","19"""
colorado,Telluride,Epic,2019 - 2020,"205""",48,"24""","24""","55""","19"""
colorado,Telluride,Epic,2020 - 2021,"206""",49,"24""","30""","64""","17"""
colorado,Telluride,Epic,2021 - To Date,"179""",39,"34""","37""","58""","20"""
wisconsin,Wilmot Mountain,Epic,2012 - 2013,"44""",18,"14""","33""","56""","12"""
wisconsin,Wilmot Mountain,Epic,2013 - 2014,"58""",21,"20""","52""","47""","7"""
wisconsin,Wilmot Mountain,Epic,2014 - 2015,"15""",6,"18""","30""","226""","4"""
wisconsin,Wilmot Mountain,Epic,2015 - 2016,"12""",6,"4""","15""","16""","5"""
wisconsin,Wilmot Mountain,Epic,2016 - 2017,"17""",9,"6""","10""","20""","4"""
wisconsin,Wilmot Mountain,Epic,2017 - 2018,"37""",15,"6""","10""","28""","8"""
wisconsin,Wilmot Mountain,Epic,2018 - 2019,"35""",9,"9""","15""","24""","10"""
wisconsin,Wilmot Mountain,Epic,2019 - 2020,"6""",1,"9""","17""","29""","6"""
wisconsin,Wilmot Mountain,Epic,2020 - 2021,"22""",11,"9""","10""","20""","5"""
wisconsin,Wilmot Mountain,Epic,2021 - To Date,"10""",4,"19""","18""","64""","4"""
